id,UserID,TestID,library,soundQuality,soundSpatialQuality,duration,versionSha,os
571,user_F9ESAN5C8n_00oxbS-h93,iM-vXUkpocZ9ruZevb7jI,web-api,8,7,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
573,user_F9ESAN5C8n_00oxbS-h93,iM-vXUkpocZ9ruZevb7jI,mach1,3,4,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
572,user_F9ESAN5C8n_00oxbS-h93,iM-vXUkpocZ9ruZevb7jI,js-ambisonics,4,7,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
570,user_F9ESAN5C8n_00oxbS-h93,iM-vXUkpocZ9ruZevb7jI,resonance,8,8,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
577,user_S3xuUea57XPPeQJ5uyRiT,N-o33x1M40SV37OS4oYpo,mach1,10,8,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,ios
574,user_S3xuUea57XPPeQJ5uyRiT,N-o33x1M40SV37OS4oYpo,resonance,1,1,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,ios
575,user_S3xuUea57XPPeQJ5uyRiT,N-o33x1M40SV37OS4oYpo,web-api,5,4,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,ios
576,user_S3xuUea57XPPeQJ5uyRiT,N-o33x1M40SV37OS4oYpo,js-ambisonics,1,1,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,ios
579,user_7nPNg2eR9cnktceEeISb7,N3yuuyS8cM6QNcvnlS1sB,web-api,8,6,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
578,user_7nPNg2eR9cnktceEeISb7,N3yuuyS8cM6QNcvnlS1sB,resonance,8,8,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
581,user_7nPNg2eR9cnktceEeISb7,N3yuuyS8cM6QNcvnlS1sB,mach1,5,6,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
580,user_7nPNg2eR9cnktceEeISb7,N3yuuyS8cM6QNcvnlS1sB,js-ambisonics,3,8,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
582,user_ayJblgphbpMnzBREXl5Lf,zj9eXltpshObZ_b3yG0nh,resonance,8,7,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
583,user_ayJblgphbpMnzBREXl5Lf,zj9eXltpshObZ_b3yG0nh,web-api,8,6,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
584,user_ayJblgphbpMnzBREXl5Lf,zj9eXltpshObZ_b3yG0nh,js-ambisonics,4,8,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
585,user_ayJblgphbpMnzBREXl5Lf,zj9eXltpshObZ_b3yG0nh,mach1,6,8,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
597,user_8-X8Gvf6xOh2NKwHc2H1T,SpHdIu3x99hQjKBWM6u8F,mach1,8,9,,780c00fc6848d38b517384c79145f2022749694d,macos
596,user_8-X8Gvf6xOh2NKwHc2H1T,SpHdIu3x99hQjKBWM6u8F,js-ambisonics,6,8,,780c00fc6848d38b517384c79145f2022749694d,macos
595,user_8-X8Gvf6xOh2NKwHc2H1T,SpHdIu3x99hQjKBWM6u8F,web-api,7,7,,780c00fc6848d38b517384c79145f2022749694d,macos
594,user_8-X8Gvf6xOh2NKwHc2H1T,SpHdIu3x99hQjKBWM6u8F,resonance,7,7,,780c00fc6848d38b517384c79145f2022749694d,macos
602,user_I4A6-GpKnmuXRDZ6GFypo,wCWtfPXE_RMnqpLlkRbDl,resonance,8,6,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
605,user_I4A6-GpKnmuXRDZ6GFypo,wCWtfPXE_RMnqpLlkRbDl,mach1,4,6,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
604,user_I4A6-GpKnmuXRDZ6GFypo,wCWtfPXE_RMnqpLlkRbDl,js-ambisonics,7,7,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
603,user_I4A6-GpKnmuXRDZ6GFypo,wCWtfPXE_RMnqpLlkRbDl,web-api,6,5,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
609,user__5Zt4z312YLlLliECIGV7,RydoIN05LBdUwl4ERuRlf,mach1,5,5,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
608,user__5Zt4z312YLlLliECIGV7,RydoIN05LBdUwl4ERuRlf,js-ambisonics,5,5,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
607,user__5Zt4z312YLlLliECIGV7,RydoIN05LBdUwl4ERuRlf,web-api,5,5,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
606,user__5Zt4z312YLlLliECIGV7,RydoIN05LBdUwl4ERuRlf,resonance,5,5,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
610,user_6p5ZOilBR0ZFIp5X-MT9o,rxIsWgGpbc9Wo1CjCslUr,resonance,4,2,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
611,user_6p5ZOilBR0ZFIp5X-MT9o,rxIsWgGpbc9Wo1CjCslUr,web-api,4,2,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
612,user_6p5ZOilBR0ZFIp5X-MT9o,rxIsWgGpbc9Wo1CjCslUr,js-ambisonics,2,3,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
613,user_6p5ZOilBR0ZFIp5X-MT9o,rxIsWgGpbc9Wo1CjCslUr,mach1,2,5,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
614,user_NuVkIMx3GcCiA4mXPTnhD,LX7eerXLJn-e_H4zGhBt8,resonance,5,6,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
615,user_NuVkIMx3GcCiA4mXPTnhD,LX7eerXLJn-e_H4zGhBt8,web-api,8,6,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
616,user_NuVkIMx3GcCiA4mXPTnhD,LX7eerXLJn-e_H4zGhBt8,js-ambisonics,2,7,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
617,user_NuVkIMx3GcCiA4mXPTnhD,LX7eerXLJn-e_H4zGhBt8,mach1,4,3,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
618,user_DUWtu_N5KWic3_jsUDnNR,JNAVCj-c8iu0Vamyh_lFW,resonance,8,5,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
619,user_DUWtu_N5KWic3_jsUDnNR,JNAVCj-c8iu0Vamyh_lFW,web-api,4,6,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
620,user_DUWtu_N5KWic3_jsUDnNR,JNAVCj-c8iu0Vamyh_lFW,js-ambisonics,6,5,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
621,user_DUWtu_N5KWic3_jsUDnNR,JNAVCj-c8iu0Vamyh_lFW,mach1,4,6,,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
635,user_8WV8DappP8mAlcJxGEKpg,_UhXflZOJskFfFLcq1sph,resonance,7,8,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
634,user_8WV8DappP8mAlcJxGEKpg,_UhXflZOJskFfFLcq1sph,web-api,8,7,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
636,user_8WV8DappP8mAlcJxGEKpg,_UhXflZOJskFfFLcq1sph,js-ambisonics,5,7,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
637,user_8WV8DappP8mAlcJxGEKpg,_UhXflZOJskFfFLcq1sph,mach1,6,3,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
640,user_69_eLqVuwbL8lYYcD,j8VXa5guy_TObynxR5vOq,js-ambisonics,4,8,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
639,user_69_eLqVuwbL8lYYcD,j8VXa5guy_TObynxR5vOq,resonance,6,6,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
638,user_69_eLqVuwbL8lYYcD,j8VXa5guy_TObynxR5vOq,web-api,6,9,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
641,user_69_eLqVuwbL8lYYcD,j8VXa5guy_TObynxR5vOq,mach1,5,7,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
625,user_aDKCWY1GWAIVbvBJk4drm,lrK7iDEbraaIyVCWa0xH6,mach1,2,2,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
622,user_aDKCWY1GWAIVbvBJk4drm,lrK7iDEbraaIyVCWa0xH6,web-api,9,6,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
624,user_aDKCWY1GWAIVbvBJk4drm,lrK7iDEbraaIyVCWa0xH6,js-ambisonics,6,8,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
623,user_aDKCWY1GWAIVbvBJk4drm,lrK7iDEbraaIyVCWa0xH6,resonance,6,9,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
626,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,web-api,7,5,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
627,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,resonance,5,6,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
628,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,js-ambisonics,4,9,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
629,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,mach1,5,4,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
630,user_VPqvnDBZUaCLYSKuEWLxk,U5nJIrzQAtnDj8myH_4cX,web-api,7,7,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
631,user_VPqvnDBZUaCLYSKuEWLxk,U5nJIrzQAtnDj8myH_4cX,resonance,6,5,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
632,user_VPqvnDBZUaCLYSKuEWLxk,U5nJIrzQAtnDj8myH_4cX,js-ambisonics,5,7,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
633,user_VPqvnDBZUaCLYSKuEWLxk,U5nJIrzQAtnDj8myH_4cX,mach1,3,1,2,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
642,user_VEuXBvRkSMUyWJoP5oLoa,m2EbRtt4L21A_EhB5WfRC,resonance,7,7,,084e7eacb2d13b49a1741ad54903bf48750a3464,windows
643,user_VEuXBvRkSMUyWJoP5oLoa,m2EbRtt4L21A_EhB5WfRC,web-api,2,2,,084e7eacb2d13b49a1741ad54903bf48750a3464,windows
644,user_VEuXBvRkSMUyWJoP5oLoa,m2EbRtt4L21A_EhB5WfRC,js-ambisonics,5,6,,084e7eacb2d13b49a1741ad54903bf48750a3464,windows
645,user_VEuXBvRkSMUyWJoP5oLoa,m2EbRtt4L21A_EhB5WfRC,mach1,9,5,,084e7eacb2d13b49a1741ad54903bf48750a3464,windows
648,user_VEuXBvRkSMUyWJoP5oLoa,7xPTUda4KVJWCfij8oIia,js-ambisonics,5,6,,084e7eacb2d13b49a1741ad54903bf48750a3464,windows
